location,date,total_cases,total_deaths,Death_Percentage
India,2021-10-22,34143236,453042,1.326886532
India,2021-10-21,34127450,452811,1.326823422
India,2022-01-14,36582129,485350,1.326740715
India,2021-04-03,12392260,164110,1.324294358
India,2021-07-12,30874376,408764,1.323958742
India,2021-07-11,30837222,408040,1.323206092
India,2021-07-10,30795716,407145,1.32208324
India,2021-07-09,30752950,405939,1.320000195
India,2021-07-08,30709557,405028,1.318898869
India,2021-04-04,12485509,164623,1.318512525
India,2021-07-07,30663665,404211,1.318208375
India,2022-01-15,36850962,485752,1.318152834
India,2021-07-06,30619932,403281,1.317053872
India,2021-07-05,30585229,402728,1.316740182
India,2021-07-04,30545433,402005,1.316088726
India,2021-07-03,30502362,401050,1.31481621
India,2021-07-02,30458251,400312,1.314297397
India,2021-07-01,30411634,399459,1.313507193
India,2021-06-30,30362848,398454,1.312307726
India,2021-06-29,30316897,397637,1.31160191
India,2021-04-05,12589067,165101,1.311463351
India,2021-06-28,30279331,396730,1.310233704
India,2022-01-16,37122164,486066,1.30936871
India,2021-06-27,30233183,395751,1.308995484
India,2021-06-26,30183143,394493,1.30699775
India,2021-06-25,30134445,393310,1.305184151
India,2021-04-06,12686049,165547,1.304953181
India,2021-06-24,30082778,391981,1.303007987
India,2022-01-17,37380253,486451,1.301358233
India,2021-06-23,30028709,390660,1.300955029
India,2021-06-22,29977861,389302,1.29863168
India,2021-04-07,12801785,166177,1.298076792
India,2021-06-21,29935221,388135,1.296583045
India,2021-06-20,29881965,386713,1.294135108
India,2022-01-18,37618271,486761,1.293948358
India,2021-06-19,29823546,385137,1.291385672
India,2021-04-08,12928574,166862,1.290645047
India,2021-06-18,29762793,383490,1.288487945
India,2021-06-17,29700313,381903,1.285855136
India,2022-01-19,37901241,487202,1.285451313
India,2021-04-09,13060542,167642,1.283576133
India,2021-06-16,29633105,379573,1.280908632
India,2022-01-20,38218773,487693,1.276056141
India,2021-04-10,13205926,168436,1.2754577
India,2021-06-15,29570881,377031,1.275007667
India,2021-06-14,29510410,374305,1.26838292
India,2021-04-11,13358805,169275,1.267141784
India,2022-01-21,38566027,488396,1.266389198
India,2021-06-13,29439989,370384,1.258098296
India,2021-04-12,13527717,170179,1.258002367
India,2022-01-22,38903731,488884,1.25665068
India,2021-06-12,29359155,367081,1.25031187
India,2021-04-13,13689453,171058,1.249560519
India,2022-01-23,39237264,489409,1.247306642
India,2021-04-14,13873825,172085,1.240357292
India,2021-06-11,29274823,363079,1.240243195
India,2022-01-24,39543328,489848,1.238762706
India,2020-03-13,81,1,1.234567901
India,2021-06-10,29183121,359676,1.232479556
India,2022-01-25,39799202,490462,1.232341292
India,2021-04-15,14074564,173123,1.230041655
India,2022-01-26,40085116,491127,1.225210375
India,2021-04-16,14291917,174308,1.21962645
India,2022-01-27,40371500,491700,1.217938397
India,2022-04-30,43075864,523803,1.216001146
India,2022-05-01,43079188,523843,1.216000172
India,2022-04-29,43072176,523753,1.215989181
India,2022-05-02,43082345,523869,1.215971415
India,2022-05-05,43091393,523975,1.215962083
India,2022-04-26,43062569,523622,1.215956252
